name,channel,business_category,distributor_type,is_distributor,distributor_potential,is_chain,address,latitude,longitude,phone_number,international_phone,website,business_status,distance_from_plant_km,priority_score,estimated_monthly_water_liters,estimated_monthly_water_revenue,google_maps_url,plant,bearing,direction,distance_band,zone,cluster,has_phone,sales_officer,officer_mobile,cluster_id,distance_range,sector
Sree Bhankadharaya Swamy,food,HoReCa,Retailer,No,Medium,No,"MM48+G4X, Gumlapuram",12.6563629,77.6653556,Not Available,Not Available,Not Available,OPERATIONAL,24.31,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ90etYABlrjsR9kDn0-janc8,Harohalli,96.06089305,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Anekal,food,HoReCa,Retailer,No,Medium,No,Anekal,12.7090575,77.6992265,Not Available,Not Available,Not Available,UNKNOWN,28.04,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ_fFYh3hvrjsRw5To5mK3a6U,Harohalli,83.24847461,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
New Baldwin International School,food,HoReCa,Retailer,No,Medium,No,"New Baldwin International School Anekal, Anekal, Hosur Road, Menasiganahalli",12.6793455,77.708914,078990 83463,+91 78990 83463,https://www.newbaldwingroupofinstitutions.org/,OPERATIONAL,28.9,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJHW5fzHJlrjsRsiq9w0xgfMQ,Harohalli,90.01327481,East,Outer,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,20-31 KM,4
New Baldwin International School Anekal,food,HoReCa,Retailer,No,Medium,No,"SY No. 160 & 160, Manasiganahalli State Highway 87, Vaddarapalya, Bengaluru",12.6952632,77.7083993,063800 95916,+91 63800 95916,https://www.newbaldwingroupofinstitutions.org/NBIRS-Anekal,OPERATIONAL,28.89,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJyyjDeXtlrjsR3VH5rFTDwk4,Harohalli,86.50124302,East,Outer,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Moulya Gurukul International School,food,HoReCa,Retailer,No,Medium,No,"68/3, Hompalaghatta, near water tank, to, Anekal - Hosur Road, Kasaba Hobli, Anekal",12.6976929,77.7025674,099804 82323,+91 99804 82323,https://www.moulyagurukulinternationalschool.in/,OPERATIONAL,28.28,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJJRkY_35lrjsRbfISGVoKGUc,Harohalli,85.87789337,East,Outer,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,20-31 KM,4
BRN AASHISH,food,HoReCa,Retailer,No,Medium,No,"PP25+P3Q, KSRTC Colony, Anekal",12.7018348,77.70772,089510 12131,+91 89510 12131,Not Available,OPERATIONAL,28.87,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJ4xWUfodvrjsRyw6L6iSRU6Q,Harohalli,85.04481373,East,Outer,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Weaver Colony,food,HoReCa,Retailer,No,Medium,No,Weaver Colony,12.703885,77.6965573,Not Available,Not Available,Not Available,UNKNOWN,27.69,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJz4P04YFvrjsRpvtzaO8245w,Harohalli,84.36080091,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Anekal Public School,food,HoReCa,Retailer,No,Medium,No,"KSRTC Colony, Bangalore, SH-87, Anekal Hosur Road, Anekal, Anekal",12.703113,77.701755,Not Available,Not Available,Not Available,OPERATIONAL,28.24,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJN9GCW4BvrjsRnUloZqGv5xI,Harohalli,84.64542314,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Sri Thimmaraya Swamy School,food,HoReCa,Retailer,No,Medium,No,"PP32+R7M, Weaver Colony, Anekal",12.7045772,77.7006662,080959 13502,+91 80959 13502,Not Available,OPERATIONAL,28.14,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJXccAyYFvrjsR4kCW2nRK5yM,Harohalli,84.29311035,East,Outer,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Vidhatha Global School,food,HoReCa,Retailer,No,Medium,No,"Vidhatha school, road, Anekal",12.7093757,77.701306,094481 71883,+91 94481 71883,https://sites.google.com/view/vidhathaeducationaltrust/home,OPERATIONAL,28.26,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJoWHZPYJvrjsRcEGUB_SppIY,Harohalli,83.23054645,East,Outer,,Cluster4,Yes,Khadeer ali,9008436667,Cluster4,20-31 KM,4
CANDS ASSOCIATES,food,HoReCa,Retailer,No,Medium,No,"1ST FLOOR, near Ksrtc Bus Depot, above CANARA BANK ATM, NO.81, BAHADURPURA ROAD, ಆನೇಕಲ್",12.7081907,77.7002608,Not Available,Not Available,Not Available,OPERATIONAL,28.14,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJqTyW_3hvrjsRdMxyIcdOmh0,Harohalli,83.47003998,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
Anekal Stadium,food,HoReCa,Retailer,No,Medium,No,"Chikka Kera Ground, Weaver Colony, Anekal",12.7062863,77.694207,Not Available,Not Available,Not Available,OPERATIONAL,27.46,9.6,2000,1000,https://www.google.com/maps/place/?q=place_id:ChIJBwjQrX5vrjsRrecn3oZliBw,Harohalli,83.75456842,East,Outer,,Cluster4,No,Khadeer ali,9008436667,Cluster4,20-31 KM,4
